day,session,start,end,room,kode_mk,nama,kelas,sks,dosen
Kamis,1,08:00,10:30,F305,SI201423,Perencanaan Arsitektur Teknologi Informasi,B,3,Dosen SI-India
Kamis,1,08:00,10:30,G204,BD201411,Pengembangan UI/UX,B,3,Dosen BD-Bravo
Kamis,1,08:00,10:30,G302,SI201404,Pemrograman Terstruktur,B,3,Dosen SI-Mike
Kamis,1,08:00,10:30,G303,BD201421,Manajemen Keuangan,A,3,Dosen BD-Bravo
Kamis,1,08:00,10:30,G306,BD201433,Kecerdasan Bisnis,A,3,Dosen BD-Charlie
Kamis,1,08:00,10:30,G307,TE201426,Sistem Komunikasi,A,4,Dosen TE-Echo
Kamis,2,10:30,12:00,E101,TE201567,Otomasi Industri,A,2,Dosen TE-Victor
Kamis,2,10:30,12:00,F203,TE201403,Matematika Diskrit,B,2,Dosen TE-Oscar
Kamis,2,10:30,12:00,F204,BD201407,Sistem Basis Data,B,2,Dosen BD-Alpha
Kamis,2,10:30,12:00,G104,IF201416,Wawasan Umum dan Gagasan Informatika,B,2,Dosen IF-Alpha
Kamis,2,10:30,12:00,G307,BD201409,Manajemen Perubahan dan Transformasi Digital,C,2,Dosen BD-Foxtrot
Kamis,3,13:00,15:30,E204,SI201415,Rekayasa Perangkat Lunak,A,4,Dosen SI-Mike
Kamis,3,13:00,15:30,E306,SI201424,Keamanan Sistem Informasi,B,3,Dosen SI-Charlie
Kamis,3,13:00,15:30,E307,TE201425,Desain Sistem Pengaturan,A,3,Dosen TE-Juliet
Kamis,3,13:00,15:30,F104,SI201413,Desain Interaksi Antarmuka dan Pengalaman Pengguna,A,3,Dosen SI-Lima
Kamis,3,13:00,15:30,F105,BD201418,Pemasaran Digital,B,3,Dosen BD-Hotel
Kamis,3,13:00,15:30,F301,IF201510,Manajemen Proyek TIK,A,3,Dosen IF-Alpha
Kamis,3,13:00,15:30,F304,IF201423,Pengolahan Citra Digital,A,3,Dosen IF-India
Kamis,3,13:00,15:30,F305,IF201504,Kecerdasan Web,A,3,Dosen IF-Bravo
Kamis,3,13:00,15:30,F307,TE201576,Teknologi Kendaraan Cerdas,A,3,Dosen TE-Bravo
Kamis,3,13:00,15:30,G101,IF201413,Sistem Basis Data,C,3,Dosen IF-Delta
Kamis,3,13:00,15:30,G105,IF201414,Grafika Komputer,A,3,Dosen IF-Kilo
Kamis,3,13:00,15:30,G205,BD201421,Manajemen Keuangan,B,3,Dosen BD-Bravo
Kamis,3,13:00,15:30,G307,SI201425,Manajemen Layanan Teknologi Informasi,B,3,Dosen SI-India
Kamis,4,15:30,17:00,F101,TE201403,Matematika Diskrit,A,2,Dosen TE-Oscar
Kamis,4,15:30,17:00,F102,TE201417,Komunikasi Data,B,2,Dosen TE-Mike
Kamis,4,15:30,17:00,F205,IF201416,Wawasan Umum dan Gagasan Informatika,A,2,Dosen IF-Alpha
Kamis,4,15:30,17:00,F302,TE201563,Teknik Tegangan Tinggi,A,2,Dosen TE-Papa
Kamis,4,15:30,17:00,F305,BD201432,Information Security,B,2,Dosen BD-Alpha
Jumat,1,08:00,10:30,E103,SI201415,Rekayasa Perangkat Lunak,B,4,Dosen SI-Mike
Jumat,1,08:00,10:30,E104,IF201403,Sistem Digital,C,3,Dosen IF-Kilo
Jumat,1,08:00,10:30,E202,TE201425,Desain Sistem Pengaturan,B,3,Dosen TE-Juliet
Jumat,1,08:00,10:30,F101,IF201424,Pengembangan Aplikasi Berbasis Web,A,3,Dosen IF-Bravo
Jumat,1,08:00,10:30,F102,BD201433,Kecerdasan Bisnis,B,3,Dosen BD-Charlie
Jumat,1,08:00,10:30,F203,SI201403,Manajemen dan Organisasi,B,3,Dosen SI-Hotel
Jumat,1,08:00,10:30,F205,SI201535,Manajemen Sumber Daya Manusia,A,3,Dosen SI-Foxtrot
Jumat,1,08:00,10:30,F307,IF201402,Matematika Diskrit,A,3,Dosen IF-Charlie
Jumat,1,08:00,10:30,G104,IF201411,Jaringan Komputer,B,3,Dosen IF-Lima
Jumat,1,08:00,10:30,G106,IF201412,Teori Graf dan Otomata,A,3,Dosen IF-Foxtrot
Jumat,1,08:00,10:30,G303,BD201420,Pemrograman Aplikasi Perangkat Bergerak,B,3,Dosen BD-Golf
Jumat,1,08:00,10:30,G305,IF201404,Pemrograman Berorientasi Objek,A,3,Dosen IF-Delta
Jumat,1,08:00,10:30,G307,BD201410,Akuntansi Manajemen,B,3,Dosen BD-Echo
Jumat,2,10:30,12:00,E303,TE201404,Material Teknik Elektro,C,2,Dosen TE-Delta
Jumat,2,10:30,12:00,E304,TE201429,Metodologi Penelitian,A,2,Dosen TE-Quebec
Jumat,2,10:30,12:00,E307,TE201428,Kecerdasan Buatan,A,2,Dosen TE-Victor
Jumat,2,10:30,12:00,F103,TE201566,Manajemen Proyek,A,2,Dosen TE-Kilo
Jumat,3,13:00,15:30,E103,BD201422,Manajemen Bisnis Proses,B,3,Dosen BD-Delta
Jumat,3,13:00,15:30,E105,SI201416,Perencanaan Manajemen Proyek Teknologi Informasi,A,3,Dosen SI-Alpha
Jumat,3,13:00,15:30,E204,BD201408,Sistem Informasi Akuntansi,A,3,Dosen BD-Charlie
Jumat,3,13:00,15:30,E205,TE201414,Rangkaian Elektronika II,A,3,Dosen TE-Uniform
Jumat,3,13:00,15:30,E306,SI201404,Pemrograman Terstruktur,A,3,Dosen SI-Mike
Jumat,3,13:00,15:30,F202,SI201411,Kecerdasan Bisnis,A,3,Dosen SI-Oscar
Jumat,3,13:00,15:30,F301,IF201514,Kapita Selekta,A,3,Dosen IF-Alpha
Jumat,3,13:00,15:30,F302,IF201412,Teori Graf dan Otomata,B,3,Dosen IF-Foxtrot
Jumat,3,13:00,15:30,F303,IF201410,Perancangan dan Analisis Algoritme,B,3,Dosen IF-Echo
Jumat,3,13:00,15:30,F306,TE201416,Sinyal dan Sistem,A,3,Dosen TE-Romeo
Jumat,3,13:00,15:30,G102,TE201413,Medan Elektromagnetik,A,4,Dosen TE-November
Jumat,3,13:00,15:30,G204,IF201415,Analisis dan Perancangan Perangkat Lunak,B,3,Dosen IF-India
Jumat,4,15:30,17:00,E104,TE201415,Arsitektur dan Organisasi Sistem Komputer,A,2,Dosen TE-Charlie
Jumat,4,15:30,17:00,E306,TE201578,Sistem Komunikasi Serat Optik,A,2,Dosen TE-Kilo
Jumat,4,15:30,17:00,G101,TE201404,Material Teknik Elektro,B,2,Dosen TE-Delta
Jumat,4,15:30,17:00,G305,BD201407,Sistem Basis Data,C,2,Dosen BD-Alpha
