kode,nama,paralel,sks,hari,sesi,waktu,ruang,dosen
SI201540,Komputasi Awan,1,3,Kamis,3,13:00-15:30,R04,Dosen SI-Echo
SI201403,Manajemen dan Organisasi,1,3,Kamis,3,13:00-15:30,R05,Dosen SI-Hotel
SI201423,Perencanaan Arsitektur Teknologi Informasi,1,3,Kamis,3,13:00-15:30,R06,Dosen SI-India
IF201424,Pengembangan Aplikasi Berbasis Web,2,3,Kamis,3,13:00-15:30,R07,Dosen IF-Bravo
IF201505,Deep Learning,1,3,Kamis,3,13:00-15:30,R08,Dosen IF-Alpha
BD201421,Manajemen Keuangan,1,3,Kamis,3,13:00-15:30,R09,Dosen BD-Bravo
BD201423,Manajemen Produk,1,3,Kamis,3,13:00-15:30,R10,Dosen BD-Charlie
BD201419,Manajemen Rantai Pasok,1,3,Kamis,3,13:00-15:30,R11,Dosen BD-Alpha
BD201431,Metodologi Penelitian Bisnis Umum,1,4,Kamis,3,13:00-15:30,R12,Dosen BD-Golf
BD201418,Pemasaran Digital,2,3,Kamis,3,13:00-15:30,R13,Dosen BD-Hotel
TE201413,Medan Elektromagnetik,2,4,Jumat,1,08:00-10:30,R01,Dosen TE-November
TE201414,Rangkaian Elektronika II,1,3,Jumat,1,08:00-10:30,R02,Dosen TE-Uniform
TE201424,Konversi Energi Listrik,2,3,Jumat,1,08:00-10:30,R03,Dosen TE-Victor
SI201412,Pemrograman Web,1,3,Jumat,1,08:00-10:30,R04,Dosen SI-Juliet
SI201415,Rekayasa Perangkat Lunak,2,4,Jumat,1,08:00-10:30,R05,Dosen SI-Mike
SI201422,Sistem Cerdas Pendukung Keputusan,2,3,Jumat,1,08:00-10:30,R06,Dosen SI-Foxtrot
IF201402,Matematika Diskrit,1,3,Jumat,1,08:00-10:30,R07,Dosen IF-Charlie
IF201404,Pemrograman Berorientasi Objek,2,3,Jumat,1,08:00-10:30,R08,Dosen IF-Delta
IF201425,Pemelajaran Mesin,1,3,Jumat,1,08:00-10:30,R09,Dosen IF-Hotel
IF201512,Teknologi IoT,1,3,Jumat,1,08:00-10:30,R10,Dosen IF-Kilo
BD201433,Kecerdasan Bisnis,1,3,Jumat,1,08:00-10:30,R11,Dosen BD-Charlie
BD201406,Manajemen Pemasaran,1,3,Jumat,1,08:00-10:30,R12,Dosen BD-India
BD201431,Metodologi Penelitian Bisnis Umum,2,4,Jumat,1,08:00-10:30,R13,Dosen BD-Golf
BD201411,Pengembangan UI/UX,3,3,Jumat,1,08:00-10:30,R14,Dosen BD-Bravo
TE201415,Arsitektur dan Organisasi Sistem Komputer,1,2,Jumat,2,10:30-12:00,R01,Dosen TE-Charlie
TE201417,Komunikasi Data,1,2,Jumat,2,10:30-12:00,R02,Dosen TE-Mike
TE201428,Kecerdasan Buatan,1,2,Jumat,2,10:30-12:00,R03,Dosen TE-Victor
TE201569,Sistem Pengendalian Mesin Listrik,1,2,Jumat,2,10:30-12:00,R04,Dosen TE-Foxtrot
TE201578,Sistem Komunikasi Serat Optik,1,2,Jumat,2,10:30-12:00,R05,Dosen TE-Kilo
BD201432,Information Security,2,2,Jumat,2,10:30-12:00,R06,Dosen BD-Alpha
BD201409,Manajemen Perubahan dan Transformasi Digital,2,2,Jumat,2,10:30-12:00,R07,Dosen BD-Foxtrot
TE201577,Jaringan Akses Nirkabel,1,3,Jumat,3,13:00-15:30,R01,Dosen TE-Foxtrot
TE201731,Tugas Akhir,1,6,Jumat,3,13:00-15:30,R02,"Dosen TE-Golf, Dosen TE-Papa"
SI201545,Penggalian Sosial Media,1,3,Jumat,3,13:00-15:30,R03,Dosen SI-Hotel
SI201422,Sistem Cerdas Pendukung Keputusan,1,3,Jumat,3,13:00-15:30,R04,Dosen SI-Foxtrot
IF201402,Matematika Diskrit,2,3,Jumat,3,13:00-15:30,R05,Dosen IF-Charlie
IF201403,Sistem Digital,3,3,Jumat,3,13:00-15:30,R06,Dosen IF-Kilo
IF201410,Perancangan dan Analisis Algoritme,2,3,Jumat,3,13:00-15:30,R07,Dosen IF-Echo
BD201410,Akuntansi Manajemen,2,3,Jumat,3,13:00-15:30,R08,Dosen BD-Echo
BD201420,Pemrograman Aplikasi Perangkat Bergerak,2,3,Jumat,3,13:00-15:30,R09,Dosen BD-Golf
BD201411,Pengembangan UI/UX,1,3,Jumat,3,13:00-15:30,R10,Dosen BD-Bravo
BD201408,Sistem Informasi Akuntansi,2,3,Jumat,3,13:00-15:30,R11,Dosen BD-Charlie
